SI-SDR,SDR,SIR,NMSE,SNR,Model
-4.588091850280762,0.864988386631012,3.302170753479004,-0.8631488680839539,-10,real_baseline
-1.993449091911316,2.142369031906128,5.3987250328063965,-2.1420886516571045,-5,real_baseline
-0.718144953250885,2.708712577819824,6.1515278816223145,-2.708683729171753,0,real_baseline
-0.089577816426754,2.997495412826538,6.232758522033691,-2.9974923133850098,5,real_baseline
0.21068178117275238,3.1426820755004883,6.154816627502441,-3.142451047897339,10,real_baseline
0.41158655285835266,3.247849464416504,6.05625057220459,-3.247817277908325,15,real_baseline
0.3847613036632538,3.2332310676574707,6.068378925323486,-3.233206033706665,20,real_baseline
-0.9117476899436491,2.6196183218419002,5.623518369576898,-2.6192697740679236,Overall,real_baseline
